region,region_slug,pobreza_2022_pct,pobreza_2024_pct,cambio_pobreza_pp_2022_2024,direccion_cambio_pobreza,cambio_pobreza_significativo_95,pobreza_extrema_2022_pct,pobreza_extrema_2024_pct,cambio_pobreza_extrema_pp_2022_2024,direccion_cambio_pobreza_extrema,cambio_pobreza_extrema_significativo_95,x,y,nombre
Arica y Parinacota,arica_y_parinacota,25.3,21.4,-3.9,baja,si,11.5,9.9,-1.6,baja,no,21.4,-3.9,Arica y Parinacota
Tarapacá,tarapaca,26.8,20.8,-6.0,baja,si,12.6,9.0,-3.6,baja,si,20.8,-6.0,Tarapacá
Antofagasta,antofagasta,19.5,16.4,-3.1,baja,si,8.6,7.1,-1.5,baja,no,16.4,-3.1,Antofagasta
Atacama,atacama,21.2,18.6,-2.6,baja,si,9.9,7.4,-2.5,baja,si,18.6,-2.6,Atacama
Coquimbo,coquimbo,24.3,20.7,-3.6,baja,si,10.8,9.1,-1.7,baja,no,20.7,-3.6,Coquimbo
Valparaíso,valparaiso,20.9,17.8,-3.1,baja,si,8.6,6.8,-1.8,baja,si,17.8,-3.1,Valparaíso
Metropolitana,metropolitana,16.5,13.3,-3.2,baja,si,6.4,5.0,-1.4,baja,si,13.3,-3.2,Metropolitana
O'Higgins,ohiggins,21.1,17.9,-3.2,baja,si,9.0,7.0,-2.0,baja,si,17.9,-3.2,O'Higgins
Maule,maule,26.1,24.3,-1.8,baja,no,10.6,10.1,-0.5,baja,no,24.3,-1.8,Maule
Ñuble,nuble,29.6,23.9,-5.7,baja,si,13.7,10.3,-3.4,baja,si,23.9,-5.7,Ñuble
Biobío,biobio,22.0,19.3,-2.7,baja,si,9.4,7.2,-2.2,baja,si,19.3,-2.7,Biobío
La Araucanía,la_araucania,32.0,28.6,-3.4,baja,si,13.7,13.0,-0.7,baja,no,28.6,-3.4,La Araucanía
Los Ríos,los_rios,20.8,22.3,1.5,sube,no,7.3,8.5,1.2,sube,no,22.3,1.5,Los Ríos
Los Lagos,los_lagos,21.4,16.5,-4.9,baja,si,9.0,6.4,-2.6,baja,si,16.5,-4.9,Los Lagos
Aysén,aysen,14.9,14.3,-0.6,baja,no,5.6,5.3,-0.3,baja,no,14.3,-0.6,Aysén
Magallanes,magallanes,14.7,9.9,-4.8,baja,si,6.2,4.2,-2.0,baja,no,9.9,-4.8,Magallanes
