region,region_slug,nombre,x_pobreza_2024,y_cambio_pobreza_pp_2022_2024,pobreza_2022_pct,pobreza_2024_pct,cambio_pobreza_significativo_95
Arica y Parinacota,arica_y_parinacota,Arica y Parinacota,21.4,-3.9,25.3,21.4,si
Tarapacá,tarapaca,Tarapacá,20.8,-6.0,26.8,20.8,si
Antofagasta,antofagasta,Antofagasta,16.4,-3.1,19.5,16.4,si
Atacama,atacama,Atacama,18.6,-2.6,21.2,18.6,si
Coquimbo,coquimbo,Coquimbo,20.7,-3.6,24.3,20.7,si
Valparaíso,valparaiso,Valparaíso,17.8,-3.1,20.9,17.8,si
Metropolitana,metropolitana,Metropolitana,13.3,-3.2,16.5,13.3,si
O'Higgins,ohiggins,O'Higgins,17.9,-3.2,21.1,17.9,si
Maule,maule,Maule,24.3,-1.8,26.1,24.3,no
Ñuble,nuble,Ñuble,23.9,-5.7,29.6,23.9,si
Biobío,biobio,Biobío,19.3,-2.7,22.0,19.3,si
La Araucanía,la_araucania,La Araucanía,28.6,-3.4,32.0,28.6,si
Los Ríos,los_rios,Los Ríos,22.3,1.5,20.8,22.3,no
Los Lagos,los_lagos,Los Lagos,16.5,-4.9,21.4,16.5,si
Aysén,aysen,Aysén,14.3,-0.6,14.9,14.3,no
Magallanes,magallanes,Magallanes,9.9,-4.8,14.7,9.9,si
